Key,Example,Source,Context,Game Locations,vi,vi translator type,id,id translator type,it,it translator type,es,es translator type,pt,pt translator type,fr,fr translator type,de,de translator type,zh-hans,zh-hans translator type,ja,ja translator type,ko,ko translator type,ru,ru translator type,th,th translator type,tr,tr translator type,zh-hant,zh-hant translator type,pl,pl translator type
,,"Playing UNDEAD CORPORATION - The Empress [Bloodhunt]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Đang chơi UNDEAD CORPORATION - The Empress [Bloodhunt]","Automation","Bermain UNDEAD CORPORATION - The Empress [Perburuan Darah]","Automation","Giocando a UNDEAD CORPORATION - The Empress [Bloodhunt]","Automation","Jugando a UNDEAD CORPORATION - The Empress [Bloodhunt]","Automation","Jogando UNDEAD CORPORATION - A Imperatriz [Caça ao Sangue]","Automation","Jouer à UNDEAD CORPORATION - The Empress [Bloodhunt]","Automation","UNDEAD CORPORATION spielen - Die Kaiserin [Blutjagd]","Automation","正在玩 UNDEAD CORPORATION - The Empress [Bloodhunt]","Automation","UNDEAD CORPORATION - The Empress [Bloodhunt]をプレイ中","Automation","언데드 코퍼레이션 플레이 - 엠프레스 [블러드 헌트]","Automation","Играя в UNDEAD CORPORATION - The Empress [Кровавая охота]","Automation","กําลังเล่น UNDEAD CORPORATION - The Empress [Bloodhunt]","Automation","UNDEAD CORPORATION - The Empress [Bloodhunt] oynuyor","Automation","正在玩 UNDEAD CORPORATION - The Empress [Bloodhunt]","Automation","Grając w UNDEAD CORPORATION - The Empress [Bloodhunt]","Automation"
,,"mapset by Aiceo",,"PlayerGui.BeatmapListing.MainFrame_Animation.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.MapperName","mapset bởi Aiceo","Automation","mapset oleh Aiceo","Automation","mapset di Aiceo","Automation","mapset por Aiceo","Automation","mapset por Aiceo","Automation","mapset par Aiceo","Automation","mapset von Aiceo","Automation","mapset 由 Aiceo 制作","Automation","マップセット:Aiceo","Automation","Aiceo 제작의 지도 세트","Automation","набор карт от Aiceo","Automation","mapset โดย Aiceo","Automation","Aiceo tarafından mapset","Automation","mapset 由 Aiceo 製作","Automation","zestaw map autorstwa Aiceo","Automation"
,,"見上げてごらん、夜空の星を FINE DAYS",,"PlayerGui.BG.PreviewFrame.PreviewFrame.Overview.MapSource","見上げてごらん、夜空の星を NGÀY TỐT ĐẸP","Automation","LIHATLAH NAIK, BINTANG DI LANGIT MALAM HARI YANG CERAH","Automation","見上げてごらん、夜空の星を BUONI GIORNI","Automation","見上げてごらん、夜空の星を BUENOS DÍAS","Automation","見上げてごらん、夜空の星を BONS DIAS","Automation","見上げてごらん、夜空の星を DE BEAUX JOURS","Automation","見上げてごらん、夜空の星を GUTE TAGE","Automation","見上げてごらん、夜空の星を FINE DAYS","Automation","見上げてごらん、夜空の星を","Automation","見上げてごらん、夜空の星を 좋은 날","Automation","見上げてごらん、夜空の星を ХОРОШИЕ ДНИ","Automation","見上げてごらん、夜空の星を สุดยอดวัน","Automation","見上げてごらん、夜空の星を IYI GÜNLER","Automation","見上げてごらん、夜空の星を FINE DAYS","Automation","見上げてごらん、夜空の星を DOBRE DNI","Automation"
,,"Battle's Normal mapped by Battle",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Overlay.Base.Diff.MainFrame.DifficultyInfo","Normal của Battle đã được map bởi Battle","Automation","Normal Pertempuran dipetakan oleh Pertempuran","Automation","Normale della battaglia mappata da battaglia","Automation","Normal de batalla asignado por batalla","Automation","Normal da Batalha mapeado por Batalha","Automation","Normal de la bataille cartographié par la bataille","Automation","Battle's Normal wurde von Battle zugeordnet","Automation","战斗的普通被战斗映射","Automation","バトルのノーマルがバトルによってマッピングされました","Automation","전투의 일반은 전투에 의해 매핑되었습니다.","Automation","Нормальность битвы отображена битвой","Automation","ปกติของการต่อสู้ถูกแมปโดยการต่อสู้","Automation","Savaşın Normal seviyesi Savaş tarafından eşleştirildi","Automation","戰鬥的「普通」由「戰鬥」映射","Automation","Normalność bitwy zmapowana przez Bitwę","Automation"
,,"CASUOZIZ mapped by xArief",,"PlayerGui.BG.PreviewFrame.PreviewFrame.Overview.DifficultyName","CASUOZIZ đã được map bởi xArief","Automation","CASUOZIZ dipetakan oleh xArief","Automation","CASUOZIZ mappato da xArief","Automation","CASUOZIZ mapeado por xArief","Automation","CASUOZIZ mapeado por xArief","Automation","CASUOZIZ cartographié par xArief","Automation","CASUOZIZ von xArief zugeordnet","Automation","CASUOZIZ 由 xArief 映射","Automation","CASUOZIZがxAriefによってマッピングされました","Automation","CASUOZIZ 맵핑 완료자: xArief","Automation","CASUOZIZ отображен xArief","Automation","CASUOZIZ ถูกแมปโดย xArief","Automation","CASUOZIZ xArief tarafından eşlendi","Automation","CASUOZIZ 由 xArief 映射","Automation","CASUOZIZ zmapowany przez xArief","Automation"
,,"Playing USAO - Miracle {number1}ympho X [Black Another]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Chơi USAO - Miracle {number1}ympho X [Đen khác]","Automation","Memainkan USAO - Miracle {number1}ympho X [Black Another]","Automation","Stai giocando a USAO - Miracle {number1}ympho X [Black Another]","Automation","Jugando a USAO - Milagro {number1}ympho X [Otro negro]","Automation","Jogando USAO - Miracle {number1}ympho X [Outro Negro]","Automation","Jouer à USAO - Miracle {number1}ympho X [Autre noir]","Automation","Spiele USAO - Miracle {number1}ympho X [Black Another]","Automation","正在游玩USAO - Miracle {number1}ympho X [黑色其他]","Automation","USAO - Miracle {number1}ympho X [Black Another]をプレイ中","Automation","USAO - Miracle {number1}ympho X [Black Another] 플레이 중","Automation","Играем в USAO - Miracle {number1}ympho X [Черный другой]","Automation","กำลังเล่น USAO - Miracle {number1}ympho X [Black Another]","Automation","USAO - Miracle {number1}ympho X [Kara Diğer] oynuyorum","Automation","正在游玩《USAO - Miracle {number1}ympho X [黑色其他]》","Automation","Graszam w USAO - Miracle {number1}ympho X [Czarny inny]","Automation"
,,"Number {number1}",,"PlayerGui.BG.SkinCustomize.MainFrame.MainFrame.HitcircleNumbers.SelectedNumber","Số {number1}","Automation","Nomor {number1}","Automation","Numero {number1}","Automation","Número {number1}","Automation","Número {number1}","Automation","Numéro {number1}","Automation","Nummer {number1}","Automation","{number1}号","Automation","番号{number1}","Automation","{number1}번","Automation","Количество {number1}","Automation","หมายเลข {number1}","Automation","{number1} Numara","Automation","{number1}號","Automation","Numer {number1}","Automation"
,,"PROBOX x TOYBOT's HEADSHOT GG NOOB INSANE mapped by toybot and ProfessionalBox",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Overlay.Base.Diff.MainFrame.DifficultyInfo","PROBOX x HEADSHOT GG NOOB INSANE của TOYBOT được ánh xạ bởi toybot và ProfessionalBox","Automation","PROBOX x HEADSHOT GG NOOB INSANE TOYBOT dipetakan oleh toybot dan ProfessionalBox","Automation","PROBOX x HEADSHOT GG NOOB INSANE di TOYBOT mappato da toybot e ProfessionalBox","Automation","PROBOX x TOYBOT's HEADSHOT GG NOOB INSANE mapeado por toybot y ProfessionalBox","Automation","PROBOX x TOYBOT's HEADSHOT GG NOOB INSANE mapeado por toybot e ProfessionalBox","Automation","PROBOX x HEADSHOT GG NOOB INSANE de TOYBOT cartographié par toybot et ProfessionalBox","Automation","PROBOX x TOYBOTs HEADSHOT GG NOOB INSANE von toybot und ProfessionalBox","Automation","PROBOX x TOYBOT的HEADSHOT GG NOOB INSANE由toybot和ProfessionalBox映射","Automation","PROBOX x TOYBOTのHEADSHOT GG NOOB INSANEがtoybotとProfessionalBoxによってマッピングされました","Automation","PROBOX x 토이봇의 헤드샷 GG NOOB INSANE, 토이봇과 프로페셔널박스에 의해 맵핑됨","Automation","PROBOX x TOYBOT'S HEADSHOT GG NOOB INSANE, созданный toybot и ProfessionalBox","Automation","PROBOX x TOYBOT's HEADSHOT GG NOOB INSANE ทําแผนที่โดย toybot และ ProfessionalBox","Automation","PROBOX x TOYBOT'un HEADSHOT GG NOOB INSANE'i toybot ve ProfessionalBox tarafından eşleştirildi","Automation","PROBOX x TOYBOT的HEADSHOT GG NOOB INSANE由toybot和ProfessionalBox繪製","Automation","PROBOX x TOYBOT's HEADSHOT GG NOOB INSANE mapowany przez toybot i ProfessionalBox","Automation"
,,"{number1} mapped by donjuan",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","{number1} bản đồ bởi donjuan","Automation","{number1} dipetakan oleh donjuan","Automation","{number1} mappato da donjuan","Automation","{number1} mapeado por donjuan","Automation","{number1} mapeado por donjuan","Automation","{number1} cartographié par donjuan","Automation","{number1} von donjuan zugeordnet","Automation","{number1} 已被 donjuan 映射","Automation","ドンジュアンによってマッピングされた {number1}","Automation","donjuan에 의해 {number1}가 매핑되었습니다","Automation","{number1} нанесено на карту donjuan","Automation","{number1} ถูกทําแผนที่โดย donjuan","Automation","{number1} donjuan tarafından haritalandı","Automation","{number1} 已被 donjuan 映射","Automation","{number1} zmapowane przez donjuan","Automation"
,,"Extra mapped by Nikakis",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Thêm bản đồ bởi Nikakis","Automation","Ekstra dipetakan oleh Nikakis","Automation","Extra mappato da Nikakis","Automation","Extra mapeado por Nikakis","Automation","Extra mapeado por Nikakis","Automation","Extra cartographié par Nikakis","Automation","Extra von Nikakis abgebildet","Automation","由 Nikakis 额外映射","Automation","Nikakisによって追加のマッピング","Automation","니카키스에 의해 추가 맵핑","Automation","Дополнительное отображение Nikakis","Automation","เพิ่มแผนที่โดย Nikakis","Automation","Nikakis tarafından eşleştirildi","Automation","由 Nikakis 額外映射","Automation","Ekstra zmapowany przez Nikakis","Automation"
,,"Shiinoha's Another mapped by tomadoi",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Actual.Base.Diff.MainFrame.DifficultyInfo","Một bản đồ khác của Shiinoha do tomadoi lập","Automation","Lainnya Shiinoha dipetakan oleh tomadoi","Automation","Un altro di Shiinoha mappato da tomadoi","Automation","Otro mapa de Shiinoha hecho por tomadoi","Automation","Shiinoha's Another mapeado por tomadoi","Automation","Shiinoha's Another mappé par tomadoi","Automation","Ein anderer von Shiinohas wurde von tomadoi kartiert","Automation"," tomari 映射了 Shiinoha 的另一个","Automation","tomadoiがマッピングしたShiinohaのもう1つ","Automation","tomadoi 이 (가) Shiinoha 의 또 다른 맵","Automation","Shiinoha's Другое отображено tomari","Automation","Shiinoha's อื่นที่ทําแผนที่โดย tomadoi","Automation","Shiinoha'nın bir başka haritası tomadoi tarafından","Automation","tomadoi 映射了 Shiinoha 的另一個角色","Automation","Shiinoha's Kolejny mapowany przez tomadoi","Automation"
,,"moonpoint",,"PlayerGui.BG.DetailedBeatmapInformation.MainFrame.MainFrame.MetaData.MapperName.Data","điểm trăng","Automation","titik bulan","Automation","punto lunario","Automation","punto lunar","Automation","ponto lunar","Automation","point lunaire","Automation","mondpunkt","Automation","月点","Automation","月ポイント","Automation","달점","Automation","лунный пункт","Automation","มูนพอยท์","Automation","ay puanı","Automation","月球积分","Automation","punkt księżycowy","Automation"
,,"Playing HO-KAGO TEA TIME - Kira Kira Days (Cut Ver.) [Akitoshi's Normal]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Đang chơi HO-KAGO TEA TIME - Kira Kira Days (Phiên bản cắt) [Phiên bản thường của Akitoshi]","Automation","Memainkan Waktu Teh HO-KAGO - Hari Kira Kira (Versi Editasi) [Normal Akitoshi]","Automation","Stai giocando a HO-KAGO TEA TIME - Kira Kira Days (Cut Ver.) [Akitoshi's Normal]","Automation","Jugando a HO-KAGO TEA TIME - Kira Kira Days (Versión cortada) [Versión normal de Akitoshi]","Automation","Jogando HO-KAGO HORA DO CHÁ - Dias de Kira Kira (Versão Editada) [Versão Normal de Akitoshi]","Automation","Jouer à HO-KAGO TEA TIME - Kira Kira Days (Version coupée) [Version normale d'Akitoshi]","Automation","Spiele HO-KAGO TEA TIME - Kira Kira Days (Cut Ver.) [Akitoshi's Normal]","Automation","正在游玩HO-KAGO茶饮时光 - 奎拉奎拉之旅（简剪版） [阿基托希的正常版]","Automation","HO-KAGO TEA TIME - Kira Kira Days (カットバージョン) [アキトシのノーマル版]をプレイ中","Automation","HO-KAGO 티 타임 - 키라 키라 데이스 (컷 버전) [아키토시의 일반]","Automation","Играем в HO-KAGO TEA TIME - Kira Kira Days (обрезанная версия) [Обычная у Акитоши]","Automation","กำลังเล่น HO-KAGO TEA TIME - Kira Kira Days (Cut Ver.) [Akitoshi's Normal]","Automation","HO-KAGO ÇAY ZAMANI - Kira Kira Günleri (Kesintili Versiyon] [Akitoshi'nin Normali]","Automation","正在游玩《HO-KAGO茶饮时光 - 奎拉奎拉日志（简易版）》[阿基托希的正常版]","Automation","Graszam w grę HO-KAGO TEA TIME - Kira Kira Days (Wersja skrócona) [Normalna wersja Akitoshiego]","Automation"
,,"Kneesocks mapped by Bearizm",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Vớ đầu gối được lập bản đồ bởi Bearizm","Automation","Kaus kaki yang dipetakan oleh Bearizm","Automation","Ginocchiere mappate da Bearizm","Automation","Calcetines mapeados por Bearizm","Automation","Meias de joelho mapeadas por Bearizm","Automation","Chaussettes cartographiées par Bearizm","Automation","Kniesocken, die von Bearizm abgebildet wurden","Automation","被Bearizm映射的膝袜","Automation","Bearizmによってマッピングされたニーソックス","Automation","Bearizm에 의해 맵핑된 Kneesocks","Automation","Колготки, нанесенные на карту Bearizm","Automation","ถุงเท้าเข่าถูกทําแผนที่โดย Bearizm","Automation","Bearizm tarafından eşleştirilen diz çantası","Automation","由 Bearizm 映射的膝蓋襪","Automation","Skarpetki zmapowane przez Bearizm","Automation"
,,"Light Insane mapped by Log Off Now",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Overlay.Base.Diff.MainFrame.DifficultyInfo","Light Insane đã được map bởi Log Off Now","Automation","Light Insane dipetakan oleh Log Off Now","Automation","Light Insane mappato da Log Off Now","Automation","Luz Insane mapeada por Cerrar sesión ahora","Automation","Luz Insano mapeada por Desligar Agora","Automation","Light Insane cartographié par Log Off Now","Automation","Light Insane wurde von Log Off Now zugeordnet","Automation","现在登出已映射出轻型疯狂","Automation","ログオフでマッピングしたライトクレイジー","Automation","로그아웃에 의해 맵핑된 광란의 빛","Automation","Светлое безумие отображено в Лог-офф сейчас","Automation","Light Insane ถูกแมปโดย Log Off Now","Automation","Light Insane, Log Off Now tarafından eşlendi","Automation","現在登出已映射出輕型瘋狂","Automation","Światło Insane mapowane przez Log Off Now","Automation"
,,"senorita where u going mapped by saggi",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","senorita nơi u đi ánh xạ bởi saggi","Automation","senorita dimana anda akan dipetakan oleh saggi","Automation","senorita dove vai mappato da saggi","Automation","senorita donde vas mapeado por saggi","Automation","senorita onde u vai mapeado por saggi","Automation","señorita où tu vas cartographié par saggi","Automation","senorita, wo du von saggi kartiert wirst","Automation","小姐，你要去哪里？地图由萨基绘制","Automation","サギに叩かれるセニョリータ","Automation","세뇨리타 씨, 사기 씨가 맵핑 하는 곳","Automation","сеньорита где вы собираетесь нанесены на карту сагги","Automation","senorita ที่ไหน u จะทําโดย saggi","Automation","senorita nereye gidiyorsun saggi tarafından eşleştirildi","Automation","小姐，你要去的地方被Saggi吸引了","Automation","senorita gdzie idziesz mapowane przez saggi","Automation"
,,"Raose's Hard mapped by Raose",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Overlay.Base.Diff.MainFrame.DifficultyInfo","Raose's Hard đã được map bởi Raose","Automation","Raose's Hard dipetakan oleh Raose","Automation","Raose's Hard mappato da Raose","Automation","Raose's Hard mapeado por Raose","Automation","Raose's Hard mapeado por Raose","Automation","Raose's Hard cartographié par Raose","Automation","Raose's Hard wurde von Raose zugeordnet","Automation","Raose 映射了 Raose 的 Hard","Automation","RaoseがマッピングしたRaoseのハード","Automation","Raose 님이 Raose 님이 맵핑한 Raose의 하드","Automation","Raose's Hard отображен Raose","Automation","Raose's Hard ถูกแมปโดย Raose","Automation","Raose tarafından haritalanmış Raose's Hard","Automation","Raose 的 Hard 已由 Raose 映射","Automation","Raose's Hard zmapowany przez Raose","Automation"
,,"Playing UNDEAD CORPORATION - Frozen [Collab Advanced]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Đang chơi UNDEAD CORPORATION - Frozen [Collab Nâng cao]","Automation","Bermain UNDEAD CORPORATION - Beku [Kolaborasi Lanjutan]","Automation","Giocando a UNDEAD CORPORATION - Frozen [Collab Advanced]","Automation","Jugando a UNDEAD CORPORATION - Frozen [Collab Avanzado]","Automation","Jogando UNDEAD CORPORATION - Frozen [Collab Avançado]","Automation","Jouer à UNDEAD CORPORATION - Frozen [Collab Advanced]","Automation","UNDEAD CORPORATION spielen - Frozen [Collab Fortgeschrittene]","Automation","正在玩 UNDEAD CORPORATION - Frozen [Collab 高级]","Automation","UNDEAD CORPORATION - Frozenをプレイ中 [コラボ・アドバンスト]","Automation","UNDEAD CORPORATION 플레이 중 - Frozen [Collab 고급]","Automation","Играет в UNDEAD CORPORATION - Frozen [Collab Advanced]","Automation","กําลังเล่น UNDEAD CORPORATION - Frozen [Collab Advanced]","Automation","UNDEAD CORPORATION - Frozen Oynama [Gelişmiş İşbirliği]","Automation","正在玩 UNDEAD CORPORATION - Frozen [Collab 高級]","Automation","Gra w UNDEAD CORPORATION - Frozen [Collab Zaawansowane]","Automation"
,,"Playing Serizawa Yu - Devi-kyuu (TV Size) [Stompy's Easy]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Chơi Serizawa Yu - Devi-kyuu (Kích cở TV) [Stompy dễ dàng]","Automation","Memainkan Serizawa Yu - Devi-kyuu (Ukuran TV) [Stompy's Easy]","Automation","Giocando a Serizawa Yu - Devi-kyuu (Dimensione TV) [Facile per Stompy]","Automation","Jugando a Serizawa Yu - Devi-kyuu (Tamaño de TV) [Fácil para Stompy]","Automation","Jogando Serizawa Yu - Devi-kyuu (Tamanho de TV) [Fácil de Stompy]","Automation","Jouer à Serizawa Yu - Devi-kyuu (Taille TV) [Facile pour Stompy]","Automation","Spiele Serizawa Yu - Devi-kyuu (TV-Größe) [Stompy's Easy]","Automation","正在游玩Serizawa Yu - Devi-kyuu (电视尺寸) [斯托皮的简单]","Automation","Serizawa Yu - Devi-kyuu (テレビサイズ) [Stompy's Easy]をプレイ中","Automation","세리زา와 유 - 데비-키우 플레이 (TV 사이즈) [스ト미피의 쉬운 플레이]","Automation","Играем в Serizawa Yu - Devi-kyuu (TV-размер) [Упрощенно для Стомпи]","Automation","กำลังเล่น Serizawa Yu - Devi-kyuu (TV Size) [Stompy's Easy]","Automation","Serizawa Yu - Devi-kyuu (TV Boyutu) [Stompy'nin Kolay]","Automation","正在游玩Serizawa Yu - Devi-kyuu (电视尺寸) [Stompy's简单]","Automation","Graszam w Serizawa Yu - Devi-kyuu (Wielkość TV) [Stompy's Easy]","Automation"
,,"Playing i.o - Aoiro Step (Cut Ver.) [PaRaDogi's Hyper]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Đang chơi i.o - Aoiro Step (Cut Ver.) [PaRaDogi's Hyper]","Automation","Bermain i.o - Aoiro Step (Cut Ver.) [PaRaDogi's Hyper]","Automation","Giocando i.o - Aoiro Step (Cut Ver.) [PaRaDogi's Hyper]","Automation","Jugando i.o - Aoiro Step (Cut Ver.) [Híper de PaRaDogi]","Automation","Jogando i.o - Aoiro Step (Cut Ver.) [Hiper de PaRaDogi]","Automation","Jouer à i.o - Aoiro Step (Cut Ver.) [PaRaDogi's Hyper]","Automation","Ich spiele i.o - Aoiro Step (Cut Ver.) [PaRaDogis Hyper]","Automation","Playing i.o - Aoiro Step (Cut Ver.) [PaRaDogi的Hyper]","Automation","Playing i.o - Aoiro Step (Cut Ver.) [PaRaDogiのハイパー]","Automation","i.o. 플레이 중 - Aoiro Step (Cut Ver.) [PaRaDogi의 하이퍼]","Automation","Играя в i.o - Aoiro Step (Cut Ver.) [PaRaDogi's Hyper]","Automation","กําลังเล่น i.o - Aoiro Step (Cut Ver.) [PaRaDogi's Hyper]","Automation","i.o - Aoiro Adımını Oynama (Kısaltma Versiyonu.) [PaRaDogi'nin Hiper]","Automation","Playing i.o - Aoiro Step (Cut Ver.) [PaRaDogi的Hyper]","Automation","Grając i.o - Aoiro Step (Cut Ver.) [PaRaDogi's Hyper]","Automation"
,,"!RESTART CLIENT!",,"PlayerGui.MenuInterface.RestartClientDisclaimer.Disclaimer.Title","!KHỞI ĐỘNG LẠI KHÁCH HÀNG!","Automation","!MEMULAI ULANG KLIEN!","Automation","!RIAVVIA IL CLIENT!","Automation","!REINICIAR EL CLIENTE!","Automation","!REINICIAR O CLIENTE!","Automation","!REDÉMARRER LE CLIENT!","Automation","!CLIENT NEU STARTEN!","Automation","!重新启动客户端!","Automation","クライアントを再起動!","Automation","!클라이언트 재시작!","Automation","!ПЕРЕЗАПУСТИТЬ КЛИЕНТ!","Automation","!รีสตาร์ทไคลเอ็นต์!","Automation","!İSTEMCIYI YENIDEN BAŞLAT!","Automation","!重新啟動客戶端!","Automation","!ZRESTARTUJ KLIENTA!","Automation"
,,"Reverberation mapped by PoNo",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Âm hưởng được ánh xạ bởi PoNo","Automation","Reverberasi dipetakan oleh PoNo","Automation","Reverberazione mappata da PoNo","Automation","Reverberación cartografiada por PoNo","Automation","Reverberação mapeada por PoNo","Automation","Reverberation cartographiée par PoNo","Automation","Von PoNo abgebildeter Nachklang","Automation","PoNo映射的回响","Automation","PoNoによってマップされた反響","Automation","PoNo에 의해 매핑된 반향","Automation","Реверберация нанесена на карту PoNo","Automation","การสะท้อนกลับถูกแมพโดย PoNo","Automation","PoNo tarafından eşleştirilen yansıma","Automation","PoNo映射的混音","Automation","Reverberacja odwzorowana przez PoNo","Automation"
,,"Playing Will Stetson - Harumachi Clover (Swing Arrangement) [FrenZ's Hard]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Đang chơi Will Stetson - Harumachi Clover (Swing Arrangement) [FrenZ's Hard]","Automation","Bermain Will Stetson - Harumachi Clover (Pengaturan Ayunan) [Sulit FrenZ]","Automation","Giocare a Will Stetson - Harumachi Clover (arrangiamento dell'altalena) [Difficile di FrenZ]","Automation","Jugando a Will Stetson - Harumachi Clover (Arreglo de columpio) [Duro de FrenZ]","Automation","Jogando Will Stetson - Harumachi Clover (Arranjo de balanço) [Duro do FrenZ]","Automation","Jouer à Will Stetson - Harumachi Clover (arrangement de balançoire) [FrenZ's Hard]","Automation","Spielen von Will Stetson - Harumachi Clover (Swing-Arrangement) [FrenZ's Hard]","Automation","扮演Will Stetson - Harumachi三叶草(摇摆安排)[FrenZ的困难]","Automation","ウィル・ステットソン - ハルマチクローバー (スイングアレンジ) [FrenZ's Hard]","Automation","Will Stetson 재생 - Harumachi Clover (스윙 어레인지) [FrenZ's Hard]","Automation","Играть Уилл Стетсон - Harumachi Clover (Swing Arrangement) [FrenZ's Hard]","Automation","กําลังเล่น Will Stetson - Harumachi Clover (การแกว่ง) [FrenZ's Hard]","Automation","Will Stetson oynuyor - Harumachi Clover (Salıncak Düzenlemesi) [FrenZ's Hard]","Automation","扮演Will Stetson - Harumachi Clover(搖擺安排)[FrenZ的困難]","Automation","Odtwarzanie Will Stetson - Harumachi Clover (Swing Arrangement) [FrenZ's Hard]","Automation"
,,"newton & asa's Expert mapped by newton & asa",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Overlay.Base.Diff.MainFrame.DifficultyInfo","Chuyên gia của newton & asa được map bởi newton & asa","Automation","Pakar newton & asa dipetakan oleh newton & asa","Automation","l'esperto di newton & asa mappato da newton & asa","Automation","El Experto de newton y asa fue mapeado por newton y asa","Automation","Expert de newton & asa mapeado por newton & asa","Automation","Expert de newton & asa cartographié par newton & asa","Automation","Newton & asa's Expert von newton & asa kartiert","Automation","由 newton & asa 映射的 newton & asa 的专家","Automation","newton & asaがマッピングしたnewton & asaのエキスパート","Automation","newton & asa가 매핑한 newton & asa의 전문가","Automation","Эксперт Ньютона и Асы нарисован Ньютоном и Асо","Automation","นิวตัน & asa's Expert ทําแผนที่โดยนิวตัน & asa","Automation","newton & asa tarafından haritalanmış Newton & asa'nın Uzmanı","Automation","由 newton & asa 繪製的 newton & asa 的專家","Automation","Ekspert Newtona i Asy mapowany przez Newtona i Asę","Automation"
,,"Playing Will Stetson - Harumachi Clover (Swing Arrangement) [Jenny's Insane]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Chơi Will Stetson - Harumachi Clover (Phiên bản nhạc swing) [Jenny's Insane]","Automation","Memainkan Will Stetson - Harumachi Clover (Arrangemen Swing) [Jenny's Gila]","Automation","Stai giocando a Will Stetson - Harumachi Clover (Arrangiamento swing) [Jenny's Insane]","Automation","Reproduciendo: Will Stetson - Harumachi Clover (Versión acústica)","Automation","Tocando Will Stetson - Harumachi Clover (Arranjo de Vibração) [Jenny's Insane]","Automation","Jouer Will Stetson - Harumachi Clover (Arrangement swing) [Jenny's Insane]","Automation","Will Stetson - Harumachi Clover (Swing-Arrangement) [Jenny's Insane] spielen","Automation","正在播放威尔·斯特顿 - 哈鲁马基·克洛버（摇滚版）[杰尼的疯狂版]","Automation","ウィル・ステットソン - ハルマチ・クローバー (スイング・アレンジメント) [ジェニーのクレイジー]","Automation","윌 스特슨 - 하루마치 클로버 (스윙 편곡) [제니의 괴짜]","Automation","Играем в Will Stetson - Harumachi Clover (Swing Arrangement) [Jenny's Insane]","Automation","กำลังเล่น Will Stetson - Harumachi Clover (Swing Arrangement) [Jenny's Insane]","Automation","Will Stetson - Harumachi Clover (Sallama Düzenleme) [Jenny'nin Çılgınca]","Automation","正在播放威尔·斯特ي森 - 哈鲁马基·克洛버（摇滚版）[杰尼的疯狂版]","Automation","Graszam w Will Stetson - Harumachi Clover (Wersja swingowa) [Jenny's Insane]","Automation"
,,"Speed | -nanps",,"PlayerGui.PlayScreen.PSEarned.DetailedDisplay.Speed","Tốc độ | -nanps","Automation","Kecepatan | -nanps","Automation","Velocità | -nanps","Automation","Velocidad | -nanps","Automation","Velocidade | -nanps","Automation","Vitesse | -nanps","Automation","Geschwindigkeit | -nanps","Automation","速度 | -nanps","Automation","スピード | -nanps","Automation","속도 | -nanps","Automation","Скорость | -nanps","Automation","ความเร็ว | -nanps","Automation","Hız | -nanps","Automation","速度 | -nanps","Automation","Prędkość | -nanps","Automation"
